STATES,ACTION,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,
,inicio,varinicio,varfim,ptv,id,vir,inteiro,real,lit,leia,escreva,num,rcb,opm,opr,se,ab_p,fc_p,entao,fimse,facaAte,fimFaca,fim,$,P,V,A,LV,D,L,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,CP,EXP_R,R,CP_R
0,S2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,Acc,,,,,,,,,,,,,,,,,,
2,,S4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
3,,,,,S19,,,,,S28,S29,,,,,S18,,,,,S23,,S16,,,,5,,,,,74,,14,,,13,17,,,15,
4,,,S7,,S10,,,,,,,,,,,,,,,,,,,,,,,72,6,9,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,R2,,,,,,,,,,,,,,,,,,
6,,,S7,,S10,,,,,,,,,,,,,,,,,,,,,,,73,6,9,,,,,,,,,,,,
7,,,,S8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,R5,,,,,R5,R5,,,,,R5,,,,,R5,,R5,,,,,,,,,,,,,,,,,,,
9,,,,,,,S67,S68,S69,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,
10,,,,,,S11,R8,R8,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,S10,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
12,,,,,,,R7,R7,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,S19,,,,,S28,S29,,,,,S18,,,,,S23,,S16,,,,20,,,,,74,,14,,,13,17,,,15,
14,,,,,S19,,,,,S28,S29,,,,,S18,,,,,S23,,S16,,,,22,,,,,74,,14,,,13,17,,,15,
15,,,,,S19,,,,,S28,S29,,,,,S18,,,,,S23,,S16,,,,21,,,,,74,,14,,,13,17,,,15,
16,,,,,,,,,,,,,,,,,,,,,,,,R38,,,,,,,,,,,,,,,,,,
17,,,,,S19,,,,,S28,S29,,,,,S18,,,,S43,,,,,,,,,,,,25,,26,,,27,17,24,,,
18,,,,,,,,,,,,,,,,,S30,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,S50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,R24,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,R32,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,R18,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,S49,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,R25,,,,,R25,R25,,,,,R25,,,,R25,R25,R25,R25,,,,,,,,,,,,,,,,,,,
25,,,,,S19,,,,,S28,S29,,,,,S18,,,,S43,,,,,,,,,,,,25,,26,,,27,17,47,,,
26,,,,,S19,,,,,S28,S29,,,,,S18,,,,S43,,,,,,,,,,,,25,,26,,,27,17,46,,,
27,,,,,S19,,,,,S28,S29,,,,,S18,,,,S43,,,,,,,,,,,,25,,26,,,27,17,48,,,
28,,,,,S44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,S41,,,,S39,,,S40,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,
30,,,,,S31,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,33,,,,34,,
31,,,,R22,,,,,,,,,,R22,R22,,,R22,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,R23,,,,,,,,,,R23,R23,,,R23,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,S37,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,S35,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,S36,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,R26,,,,,R26,R26,,,,,R26,,,,R26,,,,,,,,,,,,,,,,,,,,,,
37,,,,,S31,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,
38,,,,S42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,R15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,R14,,,,,R14,R14,,,,,R14,,,,R14,R14,R14,R14,,,,,,,,,,,,,,,,,,,
43,,,,,R31,,,,,R31,R31,,,,,R31,,,,R31,R31,R31,R31,,,,,,,,,,,,,,,,,,,
44,,,,S45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,R13,,,,,R13,R13,,,,,R13,,,,R13,R13,R13,R13,,,,,,,,,,,,,,,,,,,
46,,,,,R29,,,,,R29,R29,,,,,R29,,,,R29,R29,R29,R29,,,,,,,,,,,,,,,,,,,
47,,,,,R28,,,,,R28,R28,,,,,R28,,,,R28,R28,R28,R28,,,,,,,,,,,,,,,,,,,
48,,,,,R30,,,,,R30,R30,,,,,R30,,,,R30,R30,R30,R30,,,,,,,,,,,,,,,,,,,
49,,,,,S31,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,33,,,,54,,
50,,,,,S31,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,52,51,,,,,,
51,,,,R21,,,,,,,,,,S61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,S53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,R19,,,,,R19,R19,,,,,R19,,,,R19,R19,R19,R19,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,S55,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,S19,,,,,S28,S29,,,,,S18,,,,,,S60,,,,,,,,,,57,,58,,,59,17,,,,56
56,,,,,R33,,,,,R33,R33,,,,,R33,,,,,R33,,R33,,,,,,,,,,,,,,,,,,,
57,,,,,S19,,,,,S28,S29,,,,,S18,,,,,,S60,,,,,,,,,,57,,58,,,59,17,,,,65
58,,,,,S19,,,,,S28,S29,,,,,S18,,,,,,S60,,,,,,,,,,57,,58,,,59,17,,,,64
59,,,,,S19,,,,,S28,S29,,,,,S18,,,,,,S60,,,,,,,,,,57,,58,,,59,17,,,,66
60,,,,,R37,,,,,R37,R37,,,,,R37,,,,,R37,,R37,,,,,,,,,,,,,,,,,,,
61,,,,,S31,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,
62,,,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,R27,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,R35,,,,,R35,R35,,,,,R35,,,,,R35,,R35,,,,,,,,,,,,,,,,,,,
65,,,,,R34,,,,,R34,R34,,,,,R34,,,,,R34,,R34,,,,,,,,,,,,,,,,,,,
66,,,,,R36,,,,,R36,R36,,,,,R36,,,,,R36,,R36,,,,,,,,,,,,,,,,,,,
67,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,S71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,R6,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,R3,,,,,R3,R3,,,,,R3,,,,,R3,,R3,,,,,,,,,,,,,,,,,,,
73,,,,,R4,,,,,R4,R4,,,,,R4,,,,,R4,,R4,,,,,,,,,,,,,,,,,,,
74,,,,,S19,,,,,S28,S29,,,,,S18,,,,,S23,,S16,,,,75,,,,,74,,14,,,13,17,,,15,
75,,,,,,,,,,,,,,,,,,,,,,,,R12,,,,,,,,,,,,,,,,,,
